match_type,date,team1,team2,venue,city,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets
t20,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,,Sri Lanka,field,Sri Lanka,,0,5
t20,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,Sri Lanka,,0,2
t20,2017-02-22,Australia,Sri Lanka,Adelaide Oval,,Sri Lanka,field,Australia,,41,0
t20,2016-09-05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,bat,Hong Kong,,40,0
t20,2016-06-18,Zimbabwe,India,Harare Sports Club,,India,field,Zimbabwe,,2,0
t20,2016-06-20,Zimbabwe,India,Harare Sports Club,,Zimbabwe,bat,India,,0,10
t20,2016-06-22,Zimbabwe,India,Harare Sports Club,,Zimbabwe,field,India,,3,0
t20,2017-01-03,New Zealand,Bangladesh,McLean Park,Napier,Bangladesh,bat,New Zealand,,0,6
t20,2017-01-06,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,,47,0
t20,2017-01-08,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,,27,0
t20,2017-02-17,New Zealand,South Africa,Eden Park,Auckland,New Zealand,field,South Africa,,78,0
t20,2017-06-21,England,South Africa,The Rose Bowl,Southampton,South Africa,bat,England,,0,9
t20,2017-06-23,England,South Africa,County Ground,Taunton,England,field,South Africa,,3,0
t20,2017-06-25,England,South Africa,Sophia Gardens,Cardiff,South Africa,field,England,,19,0
t20,2017-09-16,West Indies,England,Riverside Ground,Chester-le-Street,England,field,West Indies,,21,0
t20,2017-01-26,India,England,Green Park,Kanpur,England,field,England,,0,7
t20,2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,England,field,India,,5,0
t20,2017-02-01,India,England,M Chinnaswamy Stadium,Bangalore,England,field,India,,75,0
t20,2016-08-27,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,West Indies,,1,0
t20,2016-08-28,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,,no result,0,0
t20,2017-02-17,Australia,New Zealand,Melbourne Cricket Ground,,New Zealand,field,Australia,,40,0
t20,2017-02-19,Australia,New Zealand,"Simonds Stadium, South Geelong",Victoria,Australia,field,New Zealand,,8,0
t20,2017-02-22,Australia,New Zealand,Adelaide Oval,,New Zealand,bat,New Zealand,,47,0
t20,2016-09-27,Sri Lanka,Australia,Sinhalese Sports Club Ground,Colombo,Australia,field,Australia,,0,10
t20,2016-09-23,Pakistan,West Indies,Dubai International Cricket Stadium,,Pakistan,field,Pakistan,,0,9
t20,2016-09-24,Pakistan,West Indies,Dubai International Cricket Stadium,,West Indies,field,Pakistan,,16,0
t20,2016-09-27,Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan,,0,8
t20,2016-11-21,New Zealand,Pakistan,Saxton Oval,Nelson,New Zealand,bat,New Zealand,,14,0
t20,2016-12-04,India,Pakistan,Asian Institute of Technology Ground,Bangkok,India,bat,India,,17,0
t20,2018-02-03,New Zealand,Australia,Sydney Cricket Ground,,Australia,field,Australia,,0,7
t20,2018-02-07,England,Australia,Bellerive Oval,Hobart,Australia,field,Australia,,0,5
t20,2018-02-10,England,Australia,Melbourne Cricket Ground,,Australia,field,Australia,,0,7
t20,2018-02-13,New Zealand,England,Westpac Stadium,Wellington,England,field,New Zealand,,12,0
t20,2018-02-16,New Zealand,Australia,Eden Park,Auckland,New Zealand,bat,Australia,,0,5
t20,2018-02-18,England,New Zealand,Seddon Park,Hamilton,New Zealand,field,England,,2,0
t20,2018-02-21,New Zealand,Australia,Eden Park,Auckland,New Zealand,bat,Australia,,19,0
t20,2017-01-14,Hong Kong,Scotland,Sheikh Zayed Stadium,Abu Dhabi,Scotland,bat,Scotland,,24,0
t20,2017-01-15,Netherlands,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,bat,Netherlands,,0,5
t20,2017-01-16,Hong Kong,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Oman,,0,7
